id,count_of_days_in_reporting_period,count_of_days_in_system,count_of_scheduled_days,count_of_days_with_appointments,count_of_days_of_afterhours_activity,count_of_minutes_active_on_unscheduled_days,count_of_minutes_in_the_system,minutes_in_clinical_review_per_appointment,minutes_in_in_basket_per_appointment,minutes_in_notes_letters_per_appointment,minutes_in_orders_per_appointment,minutes_in_clinical_review_per_day,count_of_appointments,scheduled_hours_per_day,count_of_minutes_active_outside_7am_to_7pm,count_of_minutes_active_outside_scheduled_time_30_min_buffer,minutes_active_on_unscheduled_days_per_day,percent_of_minutes_on_sunday,minutes_in_other_per_day,count_of_sunday_minutes,percent_of_minutes_on_saturday,count_of_saturday_minutes,count_of_in_basket_minutes,minutes_in_in_basket_per_day,count_of_patient_call_messages_received,count_of_patient_call_messages_incomplete,count_of_patient_call_messages_completed,messages_received_per_day_patient_calls,average_days_until_patient_call_messages_marked_done,count_of_patient_medical_advice_requests_messages_completed,count_of_patient_medical_advice_requests_messages_incomplete,count_of_patient_medical_advice_requests_messages_received,messages_received_per_day_patient_medical_advice_request,average_days_until_patient_medical_advice_request_message_marked_done,count_of_result_messages_completed,count_of_result_messages_incomplete,count_of_result_messages_received,messages_received_per_day_results,average_days_until_result_message_marked_done,count_of_rx_auth_messages_incomplete,count_of_rx_auth_messages_received,messages_received_per_day_rx_auth,average_days_until_rx_auth_message_marked_done,total_messages_received,total_messages_completed,total_messages_incomplete,message_completion_rate,avg_days_to_complete,total_weekend_minutes,percent_weekend_minutes,afterhours_ratio,afterhours_minutes_ratio,minutes_per_appointment,unscheduled_minutes_ratio,outside_hours_ratio,inbox_minutes_per_day,inbox_minutes_per_message,inbox_minutes_per_appointment,appointments_per_day,scheduled_utilization
RF_622288756,364,139,34,34,0,0,4263,0,0,0,0,57.7,129,34,0,0,0,0,19.5,0,0,0,614,53.5,45,10,42,4,42.9,112,8,115,10.1,14.2,64,3,53,4.6,55.8,23,23,1.8,3.1,236,218,44,0.8320610687022901,29,0,0,0,0,33.04651162790697,0,0,18.058823529411764,2.6016949152542375,4.75968992248062,3.7941176470588234,0.47853624208304013
RF_622288760,364,239,125,125,24,586,7840,10.3,15.4,47.9,7.1,39.9,229,22,399,710,67.19999999999999,0.5,42.9,393.7,0,34.1,1218,63.3,53,4,49,1,9.5,97,7,95,4.7,21.9,88,1,74,3.8,93.8,19,19,1,0.2,241,234,31,0.8830188679245283,31.349999999999998,427.8,0.25,0.100418410041841,0.05089285714285714,34.23580786026201,0.07474489795918367,0.05089285714285714,9.744,5.053941908713693,5.318777292576419,1.832,0.16836734693877553
RF_622288764,364,275,174,174,95,6801,35732,126.1,114.6,411.2,36.5,240,538,31,4646,15985,760.6,0.30000000000000004,100.6,1058.6,0.4,1319.7,5015,217.7,94,89,5,1,10,246,117,363,16.1,7.1,7,153,160,7.1,4.4,48,48,2.1,1.5,665,258,407,0.3879699248120301,5.75,2378.3,0.35000000000000003,0.34545454545454546,0.13002350833986343,66.41635687732342,0.1903335945371096,0.13002350833986343,28.82183908045977,7.541353383458647,9.321561338289962,3.0919540229885056,0.052054181126161427
RF_622288768,364,238,182,182,19,1607,15439,46.1,37.4,195.6,22.9,91.4,485,25,345,4109,341.2,0.2,59.5,309.8,0,117.3,1471,73.3,81,13,68,2,5.5,229,13,238,11.9,10.3,49,3,42,2.1,34.7,50,50,2.3000000000000003,17.8,411,346,79,0.8141176470588235,17.075000000000003,427.1,0.1,0.07983193277310924,0.022346006865729646,31.83298969072165,0.10408705227022476,0.022346006865729646,8.082417582417582,3.579075425790754,3.0329896907216494,2.6648351648351647,0.0971565515901289
RF_622288772,273,161,107,107,6,1636,9663,25.8,29.5,124.7,27.7,55.4,302,18,198,3102,253.1,0,38.8,23.9,0.1,74,1114,61.4,20,10,13,0,60.900000000000006,216,54,262,14.9,75,105,48,95,5.4,198.2,19,19,1.2,48.5,396,334,131,0.7182795698924731,95.65,97.9,0.05,0.037267080745341616,0.02049053089102763,31.996688741721854,0.16930559867535963,0.02049053089102763,10.411214953271028,2.813131313131313,3.6887417218543046,2.822429906542056,0.11176653213287797
RF_622288780,364,257,163,163,23,3029,16779,99.2,87.9,299.4,42.2,126.1,338,26,552,6862,352,0.1,50.9,241.9,0,243.9,2401,111.9,48,42,6,0,28.7,40,38,78,3.8,30.2,1,216,217,10.5,0.5,34,34,1.3,2.3,377,47,330,0.1246684350132626,15.424999999999999,485.8,0.05,0.08949416342412451,0.03289826568925443,49.642011834319526,0.18052327313904284,0.03289826568925443,14.730061349693251,6.36870026525199,7.103550295857988,2.0736196319018405,0.0929733595565886
MD_622293284,364,228,172,172,9,3290,32817,82.4,32.7,83.8,44.3,467.3,1322,58,141,3877,606.6,0.30000000000000004,116,393.7,0,188.7,3531,185.6,193,7,193,12,5.3,215,8,221,11.7,5.9,95,1,82,4,15.5,417,417,22.1,1.9000000000000001,913,503,433,0.5373931623931624,7.15,582.4,0.15000000000000002,0.039473684210526314,0.00429655361550416,24.82375189107413,0.10025291769509706,0.00429655361550416,20.52906976744186,3.8674698795180724,2.6709531013615733,7.686046511627907,0.10604259987201754
MD_622314356,28,12,4,4,0,0,292,0,0,0,0,3.4,16,2,0,0,0,0,1.7,0,0,0,13,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,18.25,0,0,3.25,13,0.8125,4,0.4109589041095891
RF_622351160,364,257,145,145,43,3621,20799,75,55.5,221,25.7,151.1,552,34,1064,5565,367.6,0.2,74,535.7,0.2,567.3,2502,116.2,96,11,85,3,7.8,154,8,161,7.6,7.8999999999999995,31,4,29,1.3,81,47,47,2,2.8,333,270,70,0.7941176470588235,24.875,1103,0.2,0.16731517509727625,0.05115630559161498,37.67934782608695,0.17409490840905814,0.05115630559161498,17.255172413793105,7.513513513513513,4.532608695652174,3.806896551724138,0.09808163854031444
RF_622351168,364,229,104,104,30,3426,15473,45.5,57.2,204.2,37.5,80.4,373,38,502,2840,318,0.6000000000000001,84.3,1113.4,0.2,405,1993,102.9,61,10,59,0,86.3,289,11,297,14.9,11,117,5,98,5,51.3,107,107,5.5,17.5,563,465,133,0.7775919732441472,41.525,1518.4,0.4,0.13100436681222707,0.03244361145220707,41.48257372654155,0.22141795385510243,0.03244361145220707,19.16346153846154,3.5399644760213143,5.343163538873995,3.5865384615384617,0.14735345440444647
